iata,name,country,region,latitude,longitude,facility_type,init_capacity,security_level,in_charge
PPC,Prospect Creek Airport,US,US-AK,66.814102172852,-150.64399719238,small_airport,0,10,False
KWN,Quinhagak Airport,US,US-AK,59.7551,-161.845,small_airport,0,10,False
NUI,Nuiqsut Airport,US,US-AK,70.2099990845,-151.005996704,medium_airport,0,20,False
ARC,Arctic Village Airport,US,US-AK,68.1147,-145.578995,medium_airport,0,20,False
RSH,Russian Mission Airport,US,US-AK,61.7788848877,-161.319458008,small_airport,0,10,False
RBY,Ruby Airport,US,US-AK,64.72720337,-155.4700012,medium_airport,0,20,False
SVA,Savoonga Airport,US,US-AK,63.6864013671875,-170.4929962158203,medium_airport,0,20,False
SCC,Deadhorse Airport,US,US-AK,70.19470215,-148.4649963,medium_airport,162,20,False
SDP,Sand Point Airport,US,US-AK,55.314998626708984,-160.5229949951172,medium_airport,0,20,False
SHH,Shishmaref Airport,US,US-AK,66.249604,-166.089112,medium_airport,0,20,False
SIT,Sitka Rocky Gutierrez Airport,US,US-AK,57.04710006713867,-135.36199951171875,medium_airport,210,20,False
WLK,Selawik Airport,US,US-AK,66.60009766,-159.9859924,medium_airport,0,20,False
SLQ,Sleetmute Airport,US,US-AK,61.7005004883,-157.166000366,small_airport,0,10,False
KSM,St Mary's Airport,US,US-AK,62.0605011,-163.302002,medium_airport,0,20,False
SNP,St Paul Island Airport,US,US-AK,57.167301177978516,-170.22000122070312,medium_airport,0,20,False
SOV,Seldovia Airport,US,US-AK,59.442401885986,-151.70399475098,small_airport,0,10,False
SMU,Sheep Mountain Airport,US,US-AK,61.812000274700004,-147.507003784,small_airport,0,10,False
UMM,Summit Airport,US,US-AK,63.3315010071,-149.126998901,small_airport,0,10,False
SVW,Sparrevohn LRRS Airport,US,US-AK,61.09740067,-155.5740051,medium_airport,0,20,False
